Dish,Ingredients,Steps,Cuisine
Hakka Noodles,"Noodles, vegetables, soy sauce, vinegar","Boil noodles. Stir fry vegetables. Add noodles and sauces. Toss.",Indo-Chinese
Paneer Fried Rice,"Paneer, rice, vegetables, sauces","Stir fry paneer and vegetables. Add rice and sauces. Mix well.",Indo-Chinese
Vegetable Momos,"Flour, cabbage, carrot, garlic, ginger","Prepare dough. Fill vegetables. Steam momos for 10 minutes.",Tibetan
Paneer Momos,"Flour, paneer, onion, spices","Prepare dough. Fill paneer mixture. Steam till cooked.",Tibetan
Veg Spring Roll,"Spring roll sheets, vegetables, sauces","Prepare vegetable filling. Roll in sheets and deep fry.",Indo-Chinese
Veg Burger,"Burger buns, vegetable patty, lettuce, sauce","Cook patty. Assemble burger with veggies and sauces.",Fast Food
Cheese Sandwich,"Bread, cheese, butter, pepper","Apply butter, place cheese, grill till golden.",Indian
Corn Sandwich,"Bread, boiled corn, butter, spices","Mix corn with spices. Fill bread and grill.",Indian
Vegetable Soup,"Mixed vegetables, garlic, pepper","Boil vegetables. Blend and simmer with spices.",Indian
Tomato Soup,"Tomatoes, garlic, pepper, cream","Boil tomatoes and blend. Cook with spices and cream.",Indian
Sweet Corn Soup,"Sweet corn, vegetables, pepper","Boil corn and vegetables. Simmer and season.",Indo-Chinese
Paneer Pakora,"Paneer, besan, spices, oil","Dip paneer in batter and deep fry.",Indian
Bread Pakora,"Bread, potato filling, besan","Stuff bread with potato. Dip in batter and fry.",Indian
Moong Dal Chilla,"Moong dal, ginger, spices","Soak dal, grind batter. Cook like dosa.",Indian
Butter Chicken,"Chicken, tomatoes, butter, cream, ginger garlic, spices","Marinate chicken with spices and curd. Grill or fry lightly. Prepare tomato gravy with butter and cream. Add chicken and simmer for 10 minutes.",Punjabi
Chicken Curry,"Chicken, onion, tomato, ginger garlic, spices","Heat oil and fry onions. Add ginger garlic paste and tomatoes. Add spices and chicken. Cook until chicken is tender.",Indian
Hyderabadi Chicken Biryani,"Basmati rice, chicken, curd, spices, mint, fried onions","Marinate chicken. Parboil rice. Layer rice and chicken. Cook on dum for 20 minutes.",Hyderabadi
Mutton Rogan Josh,"Mutton, onion, yogurt, Kashmiri spices","Cook mutton with spices and yogurt. Simmer till meat is soft and gravy thick.",Kashmiri
Fish Curry,"Fish, onion, tomato, tamarind, spices","Fry fish lightly. Prepare onion tomato gravy. Add fish and simmer for 10 minutes.",Coastal
Goan Fish Curry,"Fish, coconut milk, tamarind, spices","Cook spices with coconut milk. Add fish and simmer gently.",Goan
Chicken Chettinad,"Chicken, coconut, pepper, spices","Roast spices and grind. Cook chicken with masala and coconut paste.",Chettinad
Pepper Chicken,"Chicken, black pepper, curry leaves","Cook chicken with crushed pepper and spices. Fry till dry.",South Indian
Egg Curry,"Boiled eggs, onion, tomato, spices","Prepare onion tomato gravy. Add eggs and simmer.",Indian
Egg Bhurji,"Eggs, onion, tomato, green chilli","Scramble eggs with onion tomato masala.",Indian
Chicken 65,"Chicken, curd, chilli, curry leaves","Marinate chicken. Deep fry. Toss with chilli and curry leaves.",South Indian
Kolkata Chicken Rezala,"Chicken, cashew paste, yogurt, spices","Cook chicken in rich cashew yogurt gravy.",Bengali
Mutton Keema,"Minced mutton, onion, tomato, peas","Cook keema with onion tomato masala and spices.",North Indian
Fish Fry,"Fish, turmeric, chilli powder, oil","Marinate fish and shallow fry till crispy.",Coastal
Prawn Masala,"Prawns, onion, tomato, spices","Cook prawns in spicy onion tomato gravy.",Coastal
Chicken Korma,"Chicken, yogurt, cashew paste, spices","Cook chicken in creamy cashew yogurt gravy.",Mughlai
Andhra Chicken Curry,"Chicken, red chilli, curry leaves, spices","Cook chicken with Andhra spice paste and tempering.",Andhra
Malabar Chicken Curry,"Chicken, coconut milk, spices","Cook chicken in coconut based gravy.",Kerala
Chicken Sukka,"Chicken, coconut, spices","Cook chicken dry with roasted coconut masala.",Mangalorean
Mutton Biryani,"Basmati rice, mutton, spices, mint","Layer cooked mutton and rice. Dum cook for 25 minutes.",Hyderabadi
Rajasthani Dal Baati Churma,"Wheat flour, semolina, ghee, mixed dals, jaggery","Prepare hard dough balls and bake. Cook mixed dal with spices. Crush baati with ghee and serve with dal and churma.",Rajasthani
Laal Maas,"Mutton, red chillies, garlic, yogurt","Cook mutton with red chilli paste and garlic. Simmer until tender.",Rajasthani
Gatte Ki Sabzi,"Besan, curd, spices","Prepare besan rolls. Cook curd gravy and add gatte.",Rajasthani
Kerala Appam,"Rice, coconut, yeast","Ferment batter and cook appams in pan.",Kerala
Vegetable Stew,"Vegetables, coconut milk, spices","Cook vegetables in coconut milk with mild spices.",Kerala
Puttu,"Rice flour, coconut","Steam layered rice flour and coconut.",Kerala
Malabar Parotta,"Maida, milk, oil","Prepare soft dough, roll thin and cook on tawa.",Kerala
Meen Pollichathu,"Fish, banana leaf, spices","Marinate fish and wrap in banana leaf. Pan cook.",Kerala
Avial,"Mixed vegetables, coconut, curd","Cook vegetables and mix with coconut paste.",Kerala
Tamil Nadu Veg Kurma,"Vegetables, coconut, spices","Cook vegetables in coconut based gravy.",Tamil Nadu
Kothu Parotta,"Parotta, egg, onion, spices","Chop parotta and stir fry with masala.",Tamil Nadu
Kara Kuzhambu,"Tamarind, vegetables, spices","Prepare tamarind gravy and cook vegetables.",Tamil Nadu
Pesarattu,"Green gram, ginger, cumin","Grind batter and make dosa.",Andhra
Gongura Chicken,"Chicken, gongura leaves, spices","Cook chicken with gongura leaves and spices.",Andhra
Pulihora,"Rice, tamarind, peanuts, spices","Mix tamarind tempering with rice.",Andhra
Bisi Bele Bath,"Rice, dal, vegetables, spices","Cook rice dal and vegetables with spice mix.",Karnataka
Mysore Masala Dosa,"Dosa batter, potato, chutney","Spread red chutney on dosa and add potato masala.",Karnataka
Neer Dosa,"Rice, coconut","Prepare thin batter and cook dosa.",Karnataka
Chicken Ghee Roast,"Chicken, ghee, red chilli paste","Roast chicken in ghee with chilli masala.",Mangalorean
Saoji Chicken,"Chicken, saoji masala","Cook chicken in spicy saoji masala.",Maharashtrian
Puran Poli,"Wheat flour, chana dal, jaggery","Prepare sweet filling and cook stuffed roti.",Maharashtrian
Misal Pav,"Sprouts, spices, farsan","Cook sprouts curry and serve with pav.",Maharashtrian
Thalipeeth,"Multigrain flour, spices","Prepare dough and cook flatbread.",Maharashtrian
Bharli Vangi,"Brinjal, peanuts, coconut, spices","Stuff brinjal and cook in gravy.",Maharashtrian
Kosha Mangsho,"Mutton, onion, spices","Slow cook mutton till thick gravy.",Bengali
Shorshe Ilish,"Hilsa fish, mustard paste","Cook fish in mustard gravy.",Bengali
Chingri Malai Curry,"Prawns, coconut milk","Cook prawns in creamy coconut gravy.",Bengali
Luchi Aloo Dum,"Flour, potato, spices","Fry luchi and cook spicy aloo curry.",Bengali
Dalma,"Dal, vegetables, spices","Cook dal with vegetables.",Odia
Chuda Mix,"Flattened rice, peanuts, spices","Mix roasted ingredients and serve.",Odia
Machha Besara,"Fish, mustard paste","Cook fish in mustard gravy.",Odia
Litti Chokha,"Wheat flour, sattu, brinjal","Bake litti and serve with chokha.",Bihari
Sattu Paratha,"Wheat flour, sattu, spices","Stuff sattu and cook paratha.",Bihari
Champaran Meat,"Mutton, garlic, spices","Slow cook meat sealed in pot.",Bihari
Sarson Da Saag,"Mustard greens, spices","Cook greens and blend. Serve with makki roti.",Punjabi
Makki Di Roti,"Maize flour, water","Prepare dough and cook flatbread.",Punjabi
Amritsari Fish,"Fish, gram flour, spices","Coat fish and deep fry.",Punjabi
